country,model_type,strategy,data_type,rmse,mase,n_predictions
United States,loco,non_recursive,actual,367.75095476473666,1.4943553280686157,9
United States,loco,recursive,actual,976.7795640882615,4.564449685094926,9
United States,single,non_recursive,actual,263.2857407006848,1.1851415761130242,9
United States,single,recursive,actual,445.12614972910575,1.9984240828280326,9
China,loco,non_recursive,actual,525.0151360895755,1.3993259059306378,9
China,loco,recursive,actual,1192.8143608237028,3.5895358041719936,9
China,single,non_recursive,actual,893.3947417987868,2.7959359577166705,9
China,single,recursive,actual,544.3386512132321,1.3436265335822026,9
Japan,loco,non_recursive,actual,46.463080042113766,1.0451077313029542,9
Japan,loco,recursive,actual,109.8971298555811,3.060053803603718,9
Japan,single,non_recursive,actual,132.81591760153404,3.2541096158508465,9
Japan,single,recursive,actual,232.4649416547834,5.8765701933563,9
Germany,loco,non_recursive,actual,45.655563408479,1.0424300758953637,9
Germany,loco,recursive,actual,87.53331209846387,2.1492049926862276,9
Germany,single,non_recursive,actual,47.972714501753046,1.129191580032615,9
Germany,single,recursive,actual,69.86152233339678,1.6515618868125514,9
United Kingdom,loco,non_recursive,actual,30.774880944784872,1.2545314572690092,9
United Kingdom,loco,recursive,actual,75.34486245204951,3.632103355180099,9
United Kingdom,single,non_recursive,actual,23.39065956730053,1.0015608859990734,9
United Kingdom,single,recursive,actual,37.53289441226392,1.9056539299192132,9
France,loco,non_recursive,actual,20.222178929236435,1.1559503919380343,9
France,loco,recursive,actual,13.522103112185542,0.8356990604379181,9
France,single,non_recursive,actual,23.678708115318674,1.2579983381834337,9
France,single,recursive,actual,19.094446036902003,0.9841272001914635,9
Italy,loco,non_recursive,actual,49.59359963080786,2.6817385832848424,9
Italy,loco,recursive,actual,36.532646186827215,2.118976634566409,9
Italy,single,non_recursive,actual,24.354079447779924,1.328891999630776,9
Italy,single,recursive,actual,35.414909555581254,2.1439287757054406,9
Canada,loco,non_recursive,actual,25.10728099819156,1.6452149194244046,9
Canada,loco,recursive,actual,28.72539991431191,1.7839140043910173,9
Canada,single,non_recursive,actual,18.3567412295947,0.9031170736000296,9
Canada,single,recursive,actual,29.650451967199903,1.633090527784255,9
Brazil,loco,non_recursive,actual,64.08047065354687,2.7271612478925986,9
Brazil,loco,recursive,actual,151.6305108904339,6.9118257209635034,9
Brazil,single,non_recursive,actual,86.75104647172115,3.452221528989555,9
Brazil,single,recursive,actual,236.867266582021,10.695629286727794,9
Russia,loco,non_recursive,actual,105.42886347311169,1.890644280842129,9
Russia,loco,recursive,actual,170.22060278606597,3.1847585636416467,9
Russia,single,non_recursive,actual,144.71401924743253,2.5070551103454783,9
Russia,single,recursive,actual,198.71018966083528,3.605905353028952,9
India,loco,non_recursive,actual,345.4602349786418,1.8316019260043355,9
India,loco,recursive,actual,1090.9331025001684,5.977456807508254,9
India,single,non_recursive,actual,222.37107807143525,0.9688399264411082,9
India,single,recursive,actual,620.1319817118695,3.286166933967576,9
Australia,loco,non_recursive,actual,13.301245582619497,1.9202623397381626,9
Australia,loco,recursive,actual,17.527855880656578,2.671588975287738,9
Australia,single,non_recursive,actual,13.309069182551916,1.6659030226590368,9
Australia,single,recursive,actual,22.093043271919758,3.407417495399734,9
Mexico,loco,non_recursive,actual,77.1985701970855,4.539163306484226,9
Mexico,loco,recursive,actual,231.18977526720326,14.44875321781054,9
Mexico,single,non_recursive,actual,29.28551200279657,1.4186255190392265,9
Mexico,single,recursive,actual,26.600508705373567,1.632277462745018,9
Indonesia,loco,non_recursive,actual,52.47622308830766,1.153204457894987,9
Indonesia,loco,recursive,actual,44.02421742293194,1.0912509154555248,9
Indonesia,single,non_recursive,actual,198.18734234689074,3.237960917486528,9
Indonesia,single,recursive,actual,211.281626058133,4.435990462902555,9
Turkey,loco,non_recursive,actual,33.032330197533064,1.5745072963482107,9
Turkey,loco,recursive,actual,59.33077020537749,2.8498442849987966,9
Turkey,single,non_recursive,actual,47.51772852202128,1.9158835815118724,9
Turkey,single,recursive,actual,65.3057122106817,3.122161114723617,9
Saudi Arabia,loco,non_recursive,actual,69.4212202576023,1.8430785034117492,9
Saudi Arabia,loco,recursive,actual,56.07210456340595,1.4338007867422342,9
Saudi Arabia,single,non_recursive,actual,37.1916809020117,0.9738853974911733,9
Saudi Arabia,single,recursive,actual,32.39448330887547,0.891328466774647,9
South Africa,loco,non_recursive,actual,37.45681534741466,2.0722154960125656,9
South Africa,loco,recursive,actual,65.54698981144442,3.9582472141410494,9
South Africa,single,non_recursive,actual,41.723793142244105,2.232841483165298,9
South Africa,single,recursive,actual,104.3071721031849,5.597666641686968,9
Argentina,loco,non_recursive,actual,25.07804538706755,1.9204556567085147,9
Argentina,loco,recursive,actual,15.503651893131146,1.3196814990855903,9
Argentina,single,non_recursive,actual,17.843020229507616,1.6017918144246712,9
Argentina,single,recursive,actual,19.481076025129216,1.7404953381703652,9
South Korea,loco,non_recursive,actual,23.354077768305437,0.9763182696106968,9
South Korea,loco,recursive,actual,43.609741495383794,1.7899130788415292,9
South Korea,single,non_recursive,actual,27.558327510640744,0.8375495087541798,9
South Korea,single,recursive,actual,71.09427230873885,2.6813092424329574,9
