country,model_type,strategy,data_type,rmse,mase,n_predictions
United States,loco,non_recursive,actual,717057270785.6954,1.331699030884395,9
United States,loco,recursive,actual,1942320499070.562,3.274923796471995,9
United States,single,non_recursive,actual,516249084924.0712,0.8669783396248457,9
United States,single,recursive,actual,1109295720239.1333,2.0026199292580595,9
China,loco,non_recursive,actual,1640346251896.7002,1.1847691354982635,9
China,loco,recursive,actual,4573433205231.488,3.302873071573347,9
China,single,non_recursive,actual,1207375568213.177,0.6132971075056054,9
China,single,recursive,actual,1666012679080.3955,0.915560544198889,9
Japan,loco,non_recursive,actual,225238580372.76562,2.5414723119186777,9
Japan,loco,recursive,actual,520350930019.59174,6.279440563034992,9
Japan,single,non_recursive,actual,517507516242.8712,4.8936685686434105,9
Japan,single,recursive,actual,652077960272.7654,6.207235675693095,9
Germany,loco,non_recursive,actual,137300270438.88315,1.5227102627896876,9
Germany,loco,recursive,actual,344391421574.77637,4.075520170256997,9
Germany,single,non_recursive,actual,152422816511.89847,1.5538919644821123,9
Germany,single,recursive,actual,169184156366.2367,1.734347833523785,9
United Kingdom,loco,non_recursive,actual,129285087996.3292,0.7965543007826283,9
United Kingdom,loco,recursive,actual,132503595527.78119,0.8020161359607832,9
United Kingdom,single,non_recursive,actual,144946908962.1235,1.037462287534773,9
United Kingdom,single,recursive,actual,135030695177.00041,1.1524741281254116,9
France,loco,non_recursive,actual,83058347342.7659,0.7498765823828005,9
France,loco,recursive,actual,114632549557.39995,1.1110818513351512,9
France,single,non_recursive,actual,116612137705.04198,0.9559582212126683,9
France,single,recursive,actual,106195769213.35962,0.8678028626915018,9
Italy,loco,non_recursive,actual,165787445953.82468,1.9359647816089525,9
Italy,loco,recursive,actual,265616723946.8223,3.007080532381833,9
Italy,single,non_recursive,actual,109420154223.61465,1.2457791398769018,9
Italy,single,recursive,actual,103236280359.93156,1.1008700411919312,9
Canada,loco,non_recursive,actual,86248414173.97183,1.5019475405594687,9
Canada,loco,recursive,actual,244078127915.19907,4.4389539237362365,9
Canada,single,non_recursive,actual,52981220668.28681,0.8488831779381013,9
Canada,single,recursive,actual,66821353684.49305,1.0121084150361854,9
Brazil,loco,non_recursive,actual,209400008044.08224,2.1335404663807784,9
Brazil,loco,recursive,actual,365640203231.7777,3.953706658628799,9
Brazil,single,non_recursive,actual,370491797289.20166,4.037156151618383,9
Brazil,single,recursive,actual,996973130215.9359,10.49776788745998,9
Russia,loco,non_recursive,actual,116610968503.1169,1.1057140708932611,9
Russia,loco,recursive,actual,310348569961.0589,3.06503083276798,9
Russia,single,non_recursive,actual,186231926433.57712,1.779363139562728,9
Russia,single,recursive,actual,313314059854.82806,3.2517044030919857,9
India,loco,non_recursive,actual,665699712858.5396,0.7821519091922526,9
India,loco,recursive,actual,645480070144.5934,0.8032639623047484,9
India,single,non_recursive,actual,1020654261694.1182,1.2374292652629388,9
India,single,recursive,actual,1137436936382.6755,1.223002791593366,9
Australia,loco,non_recursive,actual,27286360887.26574,0.6288519282127758,9
Australia,loco,recursive,actual,21613062289.400856,0.5710809994920997,9
Australia,single,non_recursive,actual,28754419146.47667,0.683602182434945,9
Australia,single,recursive,actual,66682882159.1247,1.5629346480495074,9
Mexico,loco,non_recursive,actual,154838957274.1865,1.9470890801735952,9
Mexico,loco,recursive,actual,313921859007.32434,3.6594581600231844,9
Mexico,single,non_recursive,actual,110347972056.7686,1.4423524752350445,9
Mexico,single,recursive,actual,141553850273.1372,1.5926375348539512,9
Indonesia,loco,non_recursive,actual,93058674941.16992,0.5934426165667921,9
Indonesia,loco,recursive,actual,184141018291.06747,1.2283216654339044,9
Indonesia,single,non_recursive,actual,285216983369.53674,1.7247087721352217,9
Indonesia,single,recursive,actual,552619590743.9294,3.2182661688990963,9
Turkey,loco,non_recursive,actual,124322571302.51024,1.0078212322378148,9
Turkey,loco,recursive,actual,126441954170.7347,1.0217825978411943,9
Turkey,single,non_recursive,actual,122209326772.67584,0.866601729534768,9
Turkey,single,recursive,actual,81257943298.90646,0.6598024635219948,9
Saudi Arabia,loco,non_recursive,actual,133576123411.03435,2.2021968906369183,9
Saudi Arabia,loco,recursive,actual,352842748646.34064,5.360481701452182,9
Saudi Arabia,single,non_recursive,actual,455988274932.4914,7.14659052405903,9
Saudi Arabia,single,recursive,actual,1521999098551.935,21.982853602335645,9
South Africa,loco,non_recursive,actual,31667778541.96011,1.6092398759078994,9
South Africa,loco,recursive,actual,43111317302.65603,2.320629582290579,9
South Africa,single,non_recursive,actual,70173815067.7273,3.94936618097579,9
South Africa,single,recursive,actual,184709055982.06793,9.591212502299125,9
Argentina,loco,non_recursive,actual,72166113100.94727,1.6543429529533853,9
Argentina,loco,recursive,actual,159955222177.00555,3.4489990765122602,9
Argentina,single,non_recursive,actual,122066124089.58559,3.0456600421361983,9
Argentina,single,recursive,actual,356746877924.4114,8.150709166067006,9
South Korea,loco,non_recursive,actual,31143473526.366405,0.5157968191891465,9
South Korea,loco,recursive,actual,28128946968.70084,0.465251919304819,9
South Korea,single,non_recursive,actual,26827234733.317883,0.3558622373385353,9
South Korea,single,recursive,actual,29313497640.527206,0.44241768089351885,9
