country,year,primary_energy_consumption,population,energy_per_gdp,energy_per_capita,gdp,temperature_change_from_ghg,land_use_change_co2_per_capita,other_co2_per_capita,co2_per_capita,share_global_cumulative_coal_co2,consumption_co2_per_capita,share_global_cumulative_cement_co2,co2_including_luc_per_capita,share_global_flaring_co2,co2_per_unit_energy,land_use_change_co2,gas_co2,trade_co2_share,share_global_co2,share_global_co2_including_luc,consumption_co2,trade_co2,share_global_other_co2,temperature_change_from_n2o,nitrous_oxide_per_capita,oil_co2_per_capita,co2_growth_prct,share_global_cement_co2,share_global_cumulative_gas_co2,share_global_gas_co2,share_global_cumulative_oil_co2,total_ghg_excluding_lucf,co2_growth_abs,cumulative_coal_co2,cement_co2_per_capita,cumulative_oil_co2,cumulative_other_co2,share_global_luc_co2,co2_including_luc_per_gdp,nitrous_oxide,consumption_co2_per_gdp,co2_including_luc_per_unit_energy,methane_per_capita,cumulative_luc_co2,co2_including_luc_growth_prct,co2_including_luc_growth_abs,ghg_excluding_lucf_per_capita,share_global_oil_co2,flaring_co2,coal_co2,temperature_change_from_ch4,cumulative_flaring_co2,flaring_co2_per_capita,other_industry_co2,cumulative_co2,share_global_cumulative_luc_co2,cement_co2,coal_co2_per_capita,ghg_per_capita,share_of_temperature_change_from_ghg,co2,share_global_cumulative_flaring_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_coal_co2,temperature_change_from_co2,total_ghg,share_global_cumulative_other_co2,cumulative_co2_including_luc,co2_including_luc,co2_per_gdp,cumulative_cement_co2,gas_co2_per_capita,cumulative_gas_co2,methane,oil_co2,other_renewables_cons_change_twh,wind_elec_per_capita,oil_share_energy,fossil_energy_per_capita,per_capita_electricity,energy_cons_change_twh,oil_consumption,coal_elec_per_capita,renewables_elec_per_capita,biofuel_elec_per_capita,nuclear_cons_change_pct,renewables_cons_change_pct,fossil_share_energy,coal_prod_per_capita,hydro_cons_change_twh,renewables_electricity,gas_electricity,hydro_energy_per_capita,electricity_generation,other_renewable_electricity,gas_prod_change_twh,oil_prod_change_pct,gas_prod_change_pct,fossil_share_elec,gas_cons_change_pct,carbon_intensity_elec,oil_cons_change_pct,low_carbon_elec_per_capita,biofuel_electricity,fossil_cons_change_pct,hydro_elec_per_capita,coal_cons_change_twh,biofuel_share_elec,biofuel_cons_change_twh,coal_prod_change_pct,gas_consumption,low_carbon_share_elec,wind_cons_change_pct,electricity_share_energy,gas_production,other_renewable_consumption,solar_elec_per_capita,biofuel_share_energy,wind_share_energy,nuclear_cons_change_twh,other_renewables_share_energy,oil_share_elec,other_renewables_cons_change_pct,renewables_share_energy,biofuel_cons_per_capita,coal_cons_change_pct,oil_elec_per_capita,hydro_share_energy,wind_consumption,other_renewables_elec_per_capita_exc_biofuel,wind_energy_per_capita,coal_electricity,low_carbon_share_energy,nuclear_share_elec,renewables_share_elec,other_renewables_elec_per_capita,other_renewables_energy_per_capita,fossil_electricity,electricity_demand,solar_electricity,coal_share_elec,hydro_share_elec,wind_electricity,solar_cons_change_twh,nuclear_elec_per_capita,nuclear_share_energy,solar_energy_per_capita,fossil_fuel_consumption,low_carbon_consumption,oil_prod_change_twh,fossil_cons_change_twh,biofuel_cons_change_pct,coal_consumption,solar_cons_change_pct,wind_cons_change_twh,electricity_demand_per_capita,oil_production,gas_prod_per_capita,oil_cons_change_twh,coal_prod_change_twh,wind_share_elec,greenhouse_gas_emissions,energy_cons_change_pct,low_carbon_cons_change_twh,nuclear_energy_per_capita,renewables_consumption,hydro_electricity,gas_cons_change_twh,oil_prod_per_capita,net_elec_imports,gas_share_elec,gas_elec_per_capita,gas_energy_per_capita,low_carbon_electricity,net_elec_imports_share_demand,oil_electricity,low_carbon_cons_change_pct,other_renewables_share_elec,gas_share_energy,coal_share_energy,solar_share_elec,low_carbon_energy_per_capita,nuclear_electricity,biofuel_consumption,renewables_energy_per_capita,nuclear_consumption,coal_cons_per_capita,renewables_cons_change_twh,solar_consumption,coal_production,oil_energy_per_capita,other_renewable_exc_biofuel_electricity,fossil_elec_per_capita,other_renewables_share_elec_exc_biofuel,hydro_cons_change_pct,solar_share_energy,hydro_consumption
Argentina,1850,,1088372.0,,,2193400064.0,,10.637,,,,,,,,,11.577,,,,,,,,,0.645,,,,,,,0.599,,,,,,0.439,,0.702,,,3.904,11.577,,,0.55,,,,,,,,,0.439,,,27.845,,,,,,,,30.306,,,,,,,,4.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1851,,1115018.0,,,,0.0,10.865,,,,,,,,,12.115,,,,,,,,0.0,0.64,,,,,,,0.61,,,,,,0.43,,0.713,,,3.917,23.692,,,0.547,,,,0.0,,,,,0.434,,,28.134,0.851,,,,,,0.0,31.37,,,,,,,,4.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1852,,1138141.0,,,,0.0,10.579,,,,,,,,,12.04,,,,,,,,0.0,0.637,,,,,,,0.621,,,,,,0.421,,0.724,,,3.941,35.732,,,0.545,,,,0.0,,,,,0.43,,,28.359,0.858,,,,,,0.0,32.277,,,,,,,,4.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1853,,1157536.0,,,,0.0,10.489,,,,,,,,,12.141,,,,,,,,0.0,0.635,,,,,,,0.631,,,,,,0.418,,0.735,,,3.976,47.873,,,0.545,,,,0.0,,,,,0.427,,,28.698,0.865,,,,,,0.0,33.218,,,,,,,,4.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1854,,1177263.0,,,,0.0,10.369,,,,,,,,,12.208,,,,,,,,0.0,0.633,,,,,,,0.642,,,,,,0.419,,0.746,,,4.01,60.081,,,0.545,,,,0.0,,,,,0.425,,,29.021,0.871,,,,,,0.0,34.165,,,,,,,,4.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1855,,1197325.0,,,,0.0,10.243,,,,,,,,,12.264,,,,,,,,0.0,0.631,,,,,,,0.653,,,,,,0.426,,0.755,,,4.041,72.345,,,0.545,,,,0.0,,,,,0.425,,,29.291,0.88,,,,,,0.0,35.071,,,,,,,,4.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1856,,1217730.0,,,,0.0,10.218,,0.014,0.0,,,10.231,,,12.442,,,0.006,0.384,,,,0.0,0.628,,,,,,,0.681,,0.017,,,,0.419,,0.764,,,4.071,84.787,,,0.559,,,0.017,0.0,,,,0.017,0.424,,0.014,29.634,0.887,0.017,,0.0,0.058,0.006,0.0,36.086,,12.459,12.459,,,,,4.957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1857,,1238482.0,,,,0.0,10.123,,0.033,0.001,,,10.156,,,12.537,,,0.014,0.389,,,,0.0,0.624,,144.772,,,,,0.716,0.024,0.057,,,,0.425,,0.773,,,4.099,97.324,0.953,0.119,0.578,,,0.041,0.0,,,,0.057,0.424,,0.033,29.943,0.896,0.041,,0.001,0.101,0.014,0.0,37.084,,25.036,12.578,,,,,5.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1858,,1259588.0,,,,0.0,10.121,,0.042,0.002,,,10.163,,,12.749,,,0.018,0.393,,,,0.0,0.619,,29.47,,,,,0.738,0.012,0.11,,,,0.429,,0.78,,,4.123,110.073,1.781,0.224,0.586,,,0.053,0.0,,,,0.11,0.425,,0.042,30.25,0.906,0.053,,0.002,0.135,0.018,0.0,38.103,,37.838,12.802,,,,,5.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1859,,1285058.0,,,,0.0,9.981,,0.026,0.002,,,10.007,,,12.826,,,0.011,0.385,,,,0.0,0.611,,-35.899,,,,,0.73,-0.019,0.144,,,,0.422,,0.785,,,4.133,122.898,0.453,0.058,0.568,,,0.034,0.0,,,,0.144,0.425,,0.026,30.36,0.914,0.034,,0.002,0.161,0.011,0.0,39.015,,50.697,12.86,,,,,5.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
