country,year,primary_energy_consumption,population,energy_per_gdp,energy_per_capita,gdp,temperature_change_from_ghg,land_use_change_co2_per_capita,other_co2_per_capita,co2_per_capita,share_global_cumulative_coal_co2,consumption_co2_per_capita,share_global_cumulative_cement_co2,co2_including_luc_per_capita,share_global_flaring_co2,co2_per_unit_energy,land_use_change_co2,gas_co2,trade_co2_share,share_global_co2,share_global_co2_including_luc,consumption_co2,trade_co2,share_global_other_co2,temperature_change_from_n2o,nitrous_oxide_per_capita,oil_co2_per_capita,co2_growth_prct,share_global_cement_co2,share_global_cumulative_gas_co2,share_global_gas_co2,share_global_cumulative_oil_co2,total_ghg_excluding_lucf,co2_growth_abs,cumulative_coal_co2,cement_co2_per_capita,cumulative_oil_co2,cumulative_other_co2,share_global_luc_co2,co2_including_luc_per_gdp,nitrous_oxide,consumption_co2_per_gdp,co2_including_luc_per_unit_energy,methane_per_capita,cumulative_luc_co2,co2_including_luc_growth_prct,co2_including_luc_growth_abs,ghg_excluding_lucf_per_capita,share_global_oil_co2,flaring_co2,coal_co2,temperature_change_from_ch4,cumulative_flaring_co2,flaring_co2_per_capita,other_industry_co2,cumulative_co2,share_global_cumulative_luc_co2,cement_co2,coal_co2_per_capita,ghg_per_capita,share_of_temperature_change_from_ghg,co2,share_global_cumulative_flaring_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_coal_co2,temperature_change_from_co2,total_ghg,share_global_cumulative_other_co2,cumulative_co2_including_luc,co2_including_luc,co2_per_gdp,cumulative_cement_co2,gas_co2_per_capita,cumulative_gas_co2,methane,oil_co2,other_renewables_cons_change_twh,wind_elec_per_capita,oil_share_energy,fossil_energy_per_capita,per_capita_electricity,energy_cons_change_twh,oil_consumption,coal_elec_per_capita,renewables_elec_per_capita,biofuel_elec_per_capita,nuclear_cons_change_pct,renewables_cons_change_pct,fossil_share_energy,coal_prod_per_capita,hydro_cons_change_twh,renewables_electricity,gas_electricity,hydro_energy_per_capita,electricity_generation,other_renewable_electricity,gas_prod_change_twh,oil_prod_change_pct,gas_prod_change_pct,fossil_share_elec,gas_cons_change_pct,carbon_intensity_elec,oil_cons_change_pct,low_carbon_elec_per_capita,biofuel_electricity,fossil_cons_change_pct,hydro_elec_per_capita,coal_cons_change_twh,biofuel_share_elec,biofuel_cons_change_twh,coal_prod_change_pct,gas_consumption,low_carbon_share_elec,wind_cons_change_pct,electricity_share_energy,gas_production,other_renewable_consumption,solar_elec_per_capita,biofuel_share_energy,wind_share_energy,nuclear_cons_change_twh,other_renewables_share_energy,oil_share_elec,other_renewables_cons_change_pct,renewables_share_energy,biofuel_cons_per_capita,coal_cons_change_pct,oil_elec_per_capita,hydro_share_energy,wind_consumption,other_renewables_elec_per_capita_exc_biofuel,wind_energy_per_capita,coal_electricity,low_carbon_share_energy,nuclear_share_elec,renewables_share_elec,other_renewables_elec_per_capita,other_renewables_energy_per_capita,fossil_electricity,electricity_demand,solar_electricity,coal_share_elec,hydro_share_elec,wind_electricity,solar_cons_change_twh,nuclear_elec_per_capita,nuclear_share_energy,solar_energy_per_capita,fossil_fuel_consumption,low_carbon_consumption,oil_prod_change_twh,fossil_cons_change_twh,biofuel_cons_change_pct,coal_consumption,solar_cons_change_pct,wind_cons_change_twh,electricity_demand_per_capita,oil_production,gas_prod_per_capita,oil_cons_change_twh,coal_prod_change_twh,wind_share_elec,greenhouse_gas_emissions,energy_cons_change_pct,low_carbon_cons_change_twh,nuclear_energy_per_capita,renewables_consumption,hydro_electricity,gas_cons_change_twh,oil_prod_per_capita,net_elec_imports,gas_share_elec,gas_elec_per_capita,gas_energy_per_capita,low_carbon_electricity,net_elec_imports_share_demand,oil_electricity,low_carbon_cons_change_pct,other_renewables_share_elec,gas_share_energy,coal_share_energy,solar_share_elec,low_carbon_energy_per_capita,nuclear_electricity,biofuel_consumption,renewables_energy_per_capita,nuclear_consumption,coal_cons_per_capita,renewables_cons_change_twh,solar_consumption,coal_production,oil_energy_per_capita,other_renewable_exc_biofuel_electricity,fossil_elec_per_capita,other_renewables_share_elec_exc_biofuel,hydro_cons_change_pct,solar_share_energy,hydro_consumption
Argentina,1965,328.528,22112635.0,1.452,14896.737,226284879872.0,0.009,5.968,,2.659,0.129,,0.934,8.628,,0.179,131.975,7.247,,0.52,1.126,,,,0.0,1.353,2.14,5.631,0.754,0.4,0.589,1.115,77.604,3.135,346.71,0.074,788.834,,2.346,0.843,29.919,,0.581,4.63,7913.606,43.019,57.385,3.509,1.073,,2.601,0.004,,,,1227.465,1.514,1.632,0.118,12.492,1.576,58.805,,0.341,1.033,0.049,0.005,276.239,,9068.727,190.78,0.26,27.726,0.328,64.194,102.392,47.324,,,83.773,14732.473,,,275.216,,,,,,98.897,116.385,,,,164.265,,0.0,5.052,-1.708,12.557,,,,,,,,55.404,,,,12.651,41.234,,,,45.282,0.0,,,,,0.0,,,1.103,,,,1.103,,,,,1.103,,,0.0,0.0,,,,,,,,0.0,0.0,,324.905,3.623,-2.782,,,8.455,,,,160.084,2053.277,,0.288,,,,,0.0,3.623,1.225,,7258.847,,,,1869.712,,,,,,12.551,2.574,,164.265,0.0,,164.265,0.0,383.385,,,2.567,12479.375,,,,,,3.623
Argentina,1966,339.175,22453898.0,1.489,15139.622,227834527744.0,0.009,5.804,,2.809,0.128,,0.919,8.613,1.622,0.186,130.313,7.848,,0.532,1.132,,,,0.0,1.383,2.163,7.258,0.739,0.414,0.586,1.109,82.255,4.268,349.297,0.077,837.404,,2.495,0.849,31.046,,0.57,4.716,8043.919,1.366,2.606,3.663,1.021,2.345,2.587,0.004,2.345,0.104,,1290.538,1.524,1.723,0.115,12.662,1.568,63.073,0.143,0.347,1.035,0.048,0.005,284.321,,9262.111,193.385,0.277,29.449,0.35,72.042,105.903,48.57,0.0,,83.696,14975.831,,10.647,283.876,,,,,1.291,98.918,109.362,0.047,,,163.79,,0.0,3.807,6.387,8.408,,8.302,,3.147,,,3.263,55.266,-1.483,,,-4.545,44.657,,,,49.09,0.0,,,,0.0,0.0,,,1.082,,-17.543,,1.082,,,,,1.082,,,0.0,0.0,,,,,,,,0.0,0.0,,335.505,3.669,10.225,10.6,,6.972,,,,170.309,2191.202,8.66,-0.117,,,3.241,0.047,0.0,3.669,1.241,3.423,7602.036,,,,1993.347,,,,1.291,,13.166,2.056,,163.79,0.0,,163.79,0.0,311.199,0.047,,2.45,12671.285,,,,1.291,,3.669
Argentina,1967,349.032,22799062.0,1.492,15337.348,233929080832.0,0.009,8.292,,2.872,0.126,,0.906,11.164,1.466,0.188,189.051,8.208,,0.535,1.443,,,,0.0,1.418,2.183,3.81,0.732,0.426,0.573,1.101,85.023,2.403,352.236,0.077,887.182,,3.5,1.088,32.337,,0.729,4.83,8232.97,31.617,61.142,3.729,0.981,2.796,2.939,0.004,5.141,0.123,,1356.014,1.544,1.756,0.129,14.045,1.562,65.476,0.281,0.353,1.043,0.056,0.005,320.203,,9516.639,254.527,0.28,31.204,0.36,80.251,110.13,49.777,0.0,,83.297,15172.236,,9.857,290.735,,,,,2.399,98.923,122.136,0.088,,,165.111,,0.0,2.413,9.002,4.916,,4.573,,2.416,,,2.912,55.735,0.869,,,13.445,46.699,,,,51.503,0.0,,,,0.0,0.0,,,1.077,,12.458,,1.077,,,,,1.077,,,0.0,0.0,,,,,,,,0.0,0.0,,345.275,3.757,15.332,9.769,,7.84,,,,185.641,2263.169,6.859,0.329,,,2.906,0.088,0.0,3.757,1.271,2.042,8157.541,,,,2052.09,,,,2.399,,13.38,2.246,,165.111,0.0,,165.111,0.0,344.527,0.088,,2.779,12775.62,,,,2.399,,3.757
Argentina,1968,360.844,23150579.0,1.48,15612.201,243886489600.0,0.01,5.502,,2.981,0.125,,0.9,8.482,1.411,0.191,127.365,9.142,,0.535,1.077,,,,0.0,1.382,2.27,5.396,0.809,0.438,0.586,1.091,89.174,3.533,354.603,0.089,939.742,,2.389,0.805,31.991,,0.544,4.781,8360.335,-22.847,-58.152,3.852,0.951,2.876,2.367,0.004,8.017,0.124,,1425.023,1.552,2.064,0.102,12.742,1.554,69.009,0.395,0.359,1.043,0.044,0.005,294.982,,9713.013,196.375,0.283,33.269,0.395,89.392,110.684,52.56,0.0,,82.251,15420.594,,11.812,296.797,,,,,17.862,98.773,140.149,0.671,,,191.607,,0.0,5.835,9.556,11.329,,11.349,,2.085,,,3.227,64.693,-0.221,,,16.543,52.0,,,,57.338,0.0,,,,0.0,0.0,,,1.227,,-2.823,,1.227,,,,,1.227,,,0.0,0.0,,,,,,,,0.0,0.0,,356.416,4.429,17.739,11.141,,7.619,,,,203.381,2480.751,6.062,0.46,,,3.384,0.671,0.0,4.429,1.498,5.3,8799.413,,,,2249.8,,,,17.862,,14.411,2.111,,191.607,0.0,,191.607,0.0,329.643,0.671,,3.239,12841.15,,,,17.862,,4.429
Argentina,1969,372.911,23508715.0,1.409,15887.447,264721498112.0,0.01,4.045,,3.286,0.123,,0.892,7.331,1.161,0.207,95.084,9.105,,0.561,0.879,,,,0.0,1.306,2.577,11.94,0.794,0.446,0.533,1.086,98.533,8.24,357.193,0.091,1000.315,,1.629,0.651,30.702,,0.462,4.525,8455.419,-12.243,-24.042,4.191,1.013,2.832,2.59,0.004,10.849,0.12,,1502.272,1.553,2.148,0.11,12.155,1.541,77.249,0.477,0.366,1.04,0.047,0.005,285.759,,9885.346,172.333,0.292,35.417,0.387,98.497,106.387,60.573,0.0,,82.597,15718.227,,12.066,308.011,,,,,-10.311,98.935,149.993,-0.457,,,169.222,,0.0,0.215,3.541,0.374,,-0.374,,3.778,,,3.514,57.139,1.503,,,8.686,51.805,,,,57.552,0.0,,,,0.0,0.0,,,1.065,,19.729,,1.065,,,,,1.065,,,0.0,0.0,,,,,,,,0.0,0.0,,368.939,3.972,7.201,12.523,,9.122,,,,210.582,2451.941,11.214,0.281,,,3.344,-0.457,0.0,3.972,1.343,-0.194,8971.598,,,,2207.098,,,,-10.311,,13.892,2.446,,169.222,0.0,,169.222,0.0,388.64,-0.457,,3.521,13122.488,,,,-10.311,,3.972
Argentina,1970,353.487,23878331.0,1.267,14825.712,278897360896.0,0.01,3.294,,3.461,0.122,,0.887,6.756,1.012,0.234,78.665,10.281,,0.555,0.783,,,,0.0,1.313,2.677,6.989,0.813,0.455,0.574,1.076,104.079,5.399,360.48,0.098,1064.241,,1.382,0.578,31.344,,0.456,4.491,8534.084,-6.395,-11.02,4.359,0.94,2.81,3.287,0.004,13.66,0.118,,1584.92,1.551,2.344,0.138,11.92,1.528,82.648,0.535,0.373,1.035,0.058,0.005,284.623,,10046.658,161.313,0.296,37.761,0.431,108.778,107.228,63.926,0.18,,78.768,14625.066,,-19.424,278.435,,,,,20.109,98.647,177.308,0.632,,,193.115,,0.056,0.992,10.459,1.724,,13.009,,-9.602,,,-5.485,65.211,2.6,,,20.078,58.545,,,,58.545,0.18,,,,0.0,0.051,,,1.353,,28.507,,1.303,,,,,1.353,,,2.355,7.53,,,,,,,,0.0,0.0,,348.703,4.784,22.024,-20.236,,11.723,,,,232.606,2455.437,-29.576,0.707,,,-5.209,0.812,0.0,4.784,1.557,6.739,9755.816,,,,2455.437,,,,20.109,,16.562,3.316,,200.645,0.0,,200.645,0.0,491.662,0.812,,4.228,11677.968,,,,15.922,,4.604
Argentina,1971,374.742,24257211.0,1.281,15470.247,292438867968.0,0.01,2.848,,3.663,0.121,,0.888,6.511,0.884,0.237,69.093,11.021,,0.573,0.766,,,,0.0,1.289,2.858,7.501,0.903,0.464,0.57,1.068,110.922,6.199,363.408,0.113,1133.56,,1.35,0.54,31.267,,0.421,4.491,8603.177,-2.091,-3.373,4.573,0.963,2.843,2.928,0.004,16.503,0.117,,1673.767,1.549,2.736,0.121,11.895,1.515,88.847,0.574,0.38,1.029,0.051,0.006,288.533,,10204.6,157.94,0.304,40.497,0.454,119.8,108.948,69.319,0.009,,79.121,15273.733,,21.255,296.501,,,,,-0.51,98.73,179.055,-0.032,,,188.741,,0.059,4.721,7.852,8.065,,7.957,,6.488,,,6.102,63.74,-1.445,,,2.597,63.203,,,,63.266,0.188,,,,0.0,0.05,,4.888,1.27,,-12.327,,1.22,,,,,1.27,,,2.432,7.774,,,,,,,,0.0,0.0,,369.981,4.76,18.263,21.279,,10.278,,,,250.869,2611.774,18.066,0.11,,,6.013,-0.024,0.0,4.76,1.546,4.658,10356.487,,,,2609.164,,,,-0.51,,16.866,2.743,,196.515,0.0,,196.515,0.0,424.282,-0.024,,4.337,12240.287,,,,-0.705,,4.572
Argentina,1972,379.448,24644332.0,1.258,15416.692,301570129920.0,0.01,2.569,,3.655,0.119,,0.885,6.223,0.791,0.237,63.302,12.469,,0.555,0.71,,,,0.0,1.319,2.812,1.373,0.84,0.474,0.608,1.056,112.641,1.22,366.265,0.11,1202.857,,1.174,0.509,32.494,,0.404,4.609,8666.479,-2.895,-4.572,4.571,0.892,2.744,2.858,0.004,19.247,0.111,,1763.833,1.546,2.699,0.116,11.737,1.503,90.067,0.598,0.386,1.022,0.05,0.006,289.247,,10357.968,153.368,0.299,43.195,0.506,132.268,113.598,69.297,0.054,,77.794,15226.304,,4.706,295.186,,,,,-1.649,98.765,193.51,-0.129,,,180.528,,0.076,-3.127,3.0,-4.942,,12.217,,-0.443,,,1.292,60.973,-1.626,,,9.81,70.924,,,,60.139,0.243,,,,0.0,0.064,,28.88,1.235,,-15.823,,1.171,,,,,1.235,,,3.085,9.861,,,,,,,,0.0,0.0,,374.762,4.686,7.527,4.78,,8.651,,,,258.396,2443.42,-1.315,0.425,,,1.256,-0.074,0.0,4.686,1.503,7.722,10498.431,,,,2881.608,,,,-1.649,,18.691,2.28,,190.389,0.0,,190.389,0.0,351.496,-0.074,,4.763,11993.2,,,,-2.814,,4.443
Argentina,1973,396.458,25046008.0,1.239,15845.259,319937937408.0,0.01,2.368,,3.752,0.118,,0.876,6.12,0.778,0.237,59.307,14.187,,0.55,0.686,,,,0.0,1.337,2.843,4.34,0.755,0.487,0.644,1.044,116.524,3.909,369.145,0.103,1274.067,,1.131,0.479,33.491,,0.387,4.669,8725.785,-0.056,-0.085,4.652,0.866,3.129,2.88,0.004,22.376,0.125,,1857.809,1.542,2.57,0.115,11.683,1.491,93.976,0.618,0.392,1.015,0.049,0.006,292.612,,10511.25,153.283,0.294,45.765,0.566,146.455,116.935,71.21,-0.051,,74.964,15483.365,,17.01,297.199,,,,,93.669,97.716,124.253,4.42,,,354.243,,0.06,5.349,-2.776,8.894,,13.794,,0.682,,,3.373,119.677,0.845,,,-34.726,80.708,,,,65.488,0.191,,,,0.0,0.048,,-21.12,2.284,,9.77,,2.236,,,,,2.284,,,2.394,7.651,,,,,,,,0.0,0.0,,387.403,9.055,-7.174,12.641,,9.497,,,,251.222,2617.37,2.012,-1.654,,,4.483,4.369,0.0,9.055,2.997,9.783,10040.595,,,,3225.654,,,,93.669,,20.357,2.395,,361.894,0.0,,361.894,0.0,379.548,4.369,,3.109,11878.163,,,,99.477,,8.863
Argentina,1974,412.278,25461353.0,1.21,16199.681,340686405632.0,0.011,2.225,,3.75,0.117,,0.871,5.975,0.783,0.232,56.646,14.923,,0.561,0.687,,,,0.0,1.309,2.806,1.601,0.785,0.499,0.66,1.033,118.536,1.504,372.513,0.105,1345.519,,1.102,0.447,33.326,,0.369,4.617,8782.432,-0.755,-1.157,4.656,0.881,3.063,3.367,0.004,25.439,0.12,,1953.29,1.538,2.675,0.132,11.398,1.479,95.48,0.634,0.398,1.008,0.057,0.006,290.202,,10663.377,152.126,0.28,48.44,0.586,161.379,117.562,71.452,0.003,,72.069,15496.195,,15.82,297.124,,,,,65.358,95.657,168.809,5.906,,,580.326,,0.061,4.999,-2.113,7.633,,5.844,,-0.025,,,1.8,196.167,2.329,,,38.19,85.424,,,,70.487,0.195,,,,2.94,0.047,,1.722,3.63,,24.529,,3.582,,,,,4.343,,,2.396,7.652,,,,,,,,40.689,0.713,,394.374,17.904,-5.308,6.971,,11.826,,,,245.914,2769.646,-0.075,1.187,,,3.99,8.849,115.509,14.964,4.995,4.717,9662.709,,,,3356.591,,,,99.243,,20.72,2.868,,703.487,1.036,,587.978,2.94,464.677,5.909,,4.296,11674.927,,,,66.632,,14.769
